Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2025-12-01,Hydro,5530.6545,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Combustible Renewables,229.6775,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Solar,479.8602,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Wind,19.7951,GWh,12,2025
Colombia,Net Electricity Production,2025-11-01,Hydro,5373.674,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Combustible Renewables,229.6524,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Solar,395.3523,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Wind,17.6558,GWh,11,2025
Colombia,Net Electricity Production,2025-10-01,Hydro,5653.8311,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Combustible Renewables,229.6525,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Solar,430.3826,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Wind,5.7056,GWh,10,2025
Colombia,Net Electricity Production,2025-09-01,Hydro,5305.5058,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Combustible Renewables,229.6678,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Solar,416.133,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Wind,12.5053,GWh,9,2025
Colombia,Net Electricity Production,2025-08-01,Hydro,5518.1599,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Combustible Renewables,229.6652,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Solar,401.2606,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Wind,11.0819,GWh,8,2025
Colombia,Net Electricity Production,2025-07-01,Hydro,5692.3462,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Combustible Renewables,229.6602,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Solar,381.2928,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Wind,20.1082,GWh,7,2025
Colombia,Net Electricity Production,2025-06-01,Hydro,5304.9488,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Combustible Renewables,229.6525,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Solar,336.6562,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Wind,17.5047,GWh,6,2025
Colombia,Net Electricity Production,2025-05-01,Hydro,5640.4324,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Combustible Renewables,229.6052,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Solar,345.8165,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Wind,14.618,GWh,5,2025
Colombia,Net Electricity Production,2025-04-01,Hydro,5260.3659,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Combustible Renewables,229.6317,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Solar,344.09,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Wind,15.6485,GWh,4,2025
Colombia,Net Electricity Production,2025-03-01,Hydro,5355.9222,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Combustible Renewables,229.6571,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Solar,383.3876,GWh,3,2025
Colombia,Net Electricity Production,2025-03-01,Wind,15.216,GWh,3,2025
Colombia,Net Electricity Production,2025-02-01,Hydro,4559.2153,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Combustible Renewables,229.6635,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Solar,335.9127,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Wind,14.9303,GWh,2,2025
Colombia,Net Electricity Production,2025-01-01,Hydro,4764.6816,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Combustible Renewables,229.6657,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Solar,379.5036,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Wind,14.3895,GWh,1,2025
Colombia,Net Electricity Production,2024-12-01,Hydro,4139.1389,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Combustible Renewables,229.6733,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Solar,311.485,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Wind,11.2568,GWh,12,2024
Colombia,Net Electricity Production,2024-11-01,Hydro,4216.5231,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Combustible Renewables,229.6388,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Solar,279.3362,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Wind,3.2827,GWh,11,2024
Colombia,Net Electricity Production,2024-10-01,Hydro,3569.1598,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Combustible Renewables,229.6647,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Solar,309.1557,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Wind,9.6473,GWh,10,2024
Colombia,Net Electricity Production,2024-09-01,Hydro,4178.6337,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Combustible Renewables,229.6588,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Solar,303.0101,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Wind,9.8562,GWh,9,2024
Colombia,Net Electricity Production,2024-08-01,Hydro,4924.8719,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Combustible Renewables,229.6585,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Solar,314.2221,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Wind,14.3683,GWh,8,2024
Colombia,Net Electricity Production,2024-07-01,Hydro,5144.4299,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Combustible Renewables,229.649,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Solar,296.1264,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Wind,19.4134,GWh,7,2024
Colombia,Net Electricity Production,2024-06-01,Hydro,4782.4425,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Combustible Renewables,229.6286,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Solar,263.9113,GWh,6,2024
Colombia,Net Electricity Production,2024-06-01,Wind,14.9609,GWh,6,2024
Colombia,Net Electricity Production,2024-05-01,Hydro,5223.6676,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Combustible Renewables,229.5607,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Solar,269.1145,GWh,5,2024
Colombia,Net Electricity Production,2024-05-01,Wind,16.6115,GWh,5,2024
Colombia,Net Electricity Production,2024-04-01,Hydro,3106.599,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Combustible Renewables,229.6449,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Solar,265.6866,GWh,4,2024
Colombia,Net Electricity Production,2024-04-01,Wind,18.6368,GWh,4,2024
Colombia,Net Electricity Production,2024-03-01,Hydro,3727.789,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Combustible Renewables,229.6675,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Solar,267.7339,GWh,3,2024
Colombia,Net Electricity Production,2024-03-01,Wind,17.8152,GWh,3,2024
Colombia,Net Electricity Production,2024-02-01,Hydro,3911.5076,GWh,2,2024
Colombia,Net Electricity Production,2024-02-01,Combustible Renewables,229.6585,GWh,2,2024
Colombia,Net Electricity Production,2024-02-01,Solar,211.6858,GWh,2,2024
Colombia,Net Electricity Production,2024-02-01,Wind,14.8381,GWh,2,2024
Colombia,Net Electricity Production,2024-01-01,Hydro,4256.9416,GWh,1,2024
Colombia,Net Electricity Production,2024-01-01,Combustible Renewables,229.6712,GWh,1,2024
Colombia,Net Electricity Production,2024-01-01,Solar,232.0247,GWh,1,2024
Colombia,Net Electricity Production,2024-01-01,Wind,21.4606,GWh,1,2024
Colombia,Net Electricity Production,2023-12-01,Hydro,3997.2548,GWh,12,2023
Colombia,Net Electricity Production,2023-12-01,Combustible Renewables,229.6561,GWh,12,2023
Colombia,Net Electricity Production,2023-12-01,Solar,184.7202,GWh,12,2023
Colombia,Net Electricity Production,2023-12-01,Wind,18.2423,GWh,12,2023
Colombia,Net Electricity Production,2023-11-01,Hydro,4731.5522,GWh,11,2023
Colombia,Net Electricity Production,2023-11-01,Combustible Renewables,229.6141,GWh,11,2023
Colombia,Net Electricity Production,2023-11-01,Solar,141.5167,GWh,11,2023
Colombia,Net Electricity Production,2023-11-01,Wind,12.8395,GWh,11,2023
Colombia,Net Electricity Production,2023-10-01,Hydro,3978.6195,GWh,10,2023
Colombia,Net Electricity Production,2023-10-01,Combustible Renewables,229.6463,GWh,10,2023
Colombia,Net Electricity Production,2023-10-01,Solar,128.0474,GWh,10,2023
Colombia,Net Electricity Production,2023-10-01,Wind,6.5504,GWh,10,2023
Colombia,Net Electricity Production,2023-09-01,Hydro,4217.9879,GWh,9,2023
Colombia,Net Electricity Production,2023-09-01,Combustible Renewables,229.6585,GWh,9,2023
Colombia,Net Electricity Production,2023-09-01,Solar,120.4759,GWh,9,2023
Colombia,Net Electricity Production,2023-09-01,Wind,15.7748,GWh,9,2023
Colombia,Net Electricity Production,2023-08-01,Hydro,4872.3718,GWh,8,2023
Colombia,Net Electricity Production,2023-08-01,Combustible Renewables,229.661,GWh,8,2023
Colombia,Net Electricity Production,2023-08-01,Solar,110.1372,GWh,8,2023
Colombia,Net Electricity Production,2023-08-01,Wind,14.8918,GWh,8,2023
Colombia,Net Electricity Production,2023-07-01,Hydro,4598.5905,GWh,7,2023
Colombia,Net Electricity Production,2023-07-01,Combustible Renewables,229.6547,GWh,7,2023
Colombia,Net Electricity Production,2023-07-01,Solar,97.6065,GWh,7,2023
Colombia,Net Electricity Production,2023-07-01,Wind,22.2805,GWh,7,2023
Colombia,Net Electricity Production,2023-06-01,Hydro,4719.4757,GWh,6,2023
Colombia,Net Electricity Production,2023-06-01,Combustible Renewables,229.6289,GWh,6,2023
Colombia,Net Electricity Production,2023-06-01,Solar,81.818,GWh,6,2023
Colombia,Net Electricity Production,2023-06-01,Wind,14.9477,GWh,6,2023
Colombia,Net Electricity Production,2023-05-01,Hydro,4822.5518,GWh,5,2023
Colombia,Net Electricity Production,2023-05-01,Combustible Renewables,229.5873,GWh,5,2023
Colombia,Net Electricity Production,2023-05-01,Solar,71.0354,GWh,5,2023
Colombia,Net Electricity Production,2023-05-01,Wind,16.6686,GWh,5,2023
Colombia,Net Electricity Production,2023-04-01,Hydro,5186.2752,GWh,4,2023
Colombia,Net Electricity Production,2023-04-01,Combustible Renewables,229.6256,GWh,4,2023
Colombia,Net Electricity Production,2023-04-01,Solar,70.2518,GWh,4,2023
Colombia,Net Electricity Production,2023-04-01,Wind,17.231,GWh,4,2023
Colombia,Net Electricity Production,2023-03-01,Hydro,5281.1886,GWh,3,2023
Colombia,Net Electricity Production,2023-03-01,Combustible Renewables,229.6524,GWh,3,2023
Colombia,Net Electricity Production,2023-03-01,Solar,67.3201,GWh,3,2023
Colombia,Net Electricity Production,2023-03-01,Wind,20.8083,GWh,3,2023
Colombia,Net Electricity Production,2023-02-01,Hydro,4523.3454,GWh,2,2023
Colombia,Net Electricity Production,2023-02-01,Combustible Renewables,229.6573,GWh,2,2023
Colombia,Net Electricity Production,2023-02-01,Solar,67.1799,GWh,2,2023
Colombia,Net Electricity Production,2023-02-01,Wind,18.9256,GWh,2,2023
Colombia,Net Electricity Production,2023-01-01,Hydro,5258.8446,GWh,1,2023
Colombia,Net Electricity Production,2023-01-01,Combustible Renewables,229.6425,GWh,1,2023
Colombia,Net Electricity Production,2023-01-01,Solar,65.2622,GWh,1,2023
Colombia,Net Electricity Production,2023-01-01,Wind,18.2275,GWh,1,2023
Colombia,Net Electricity Production,2022-12-01,Hydro,5147.7353,GWh,12,2022
Colombia,Net Electricity Production,2022-12-01,Combustible Renewables,189.3349,GWh,12,2022
Colombia,Net Electricity Production,2022-12-01,Solar,74.2689,GWh,12,2022
Colombia,Net Electricity Production,2022-12-01,Wind,5.0522,GWh,12,2022
Colombia,Net Electricity Production,2022-11-01,Hydro,5292.3537,GWh,11,2022
Colombia,Net Electricity Production,2022-11-01,Combustible Renewables,189.3822,GWh,11,2022
Colombia,Net Electricity Production,2022-11-01,Solar,53.7322,GWh,11,2022
Colombia,Net Electricity Production,2022-11-01,Wind,2.8279,GWh,11,2022
Colombia,Net Electricity Production,2022-10-01,Hydro,5468.9071,GWh,10,2022
Colombia,Net Electricity Production,2022-10-01,Combustible Renewables,189.386,GWh,10,2022
Colombia,Net Electricity Production,2022-10-01,Solar,58.8239,GWh,10,2022
Colombia,Net Electricity Production,2022-10-01,Wind,2.3254,GWh,10,2022
Colombia,Net Electricity Production,2022-09-01,Hydro,5142.3708,GWh,9,2022
Colombia,Net Electricity Production,2022-09-01,Combustible Renewables,189.4004,GWh,9,2022
Colombia,Net Electricity Production,2022-09-01,Solar,54.3858,GWh,9,2022
Colombia,Net Electricity Production,2022-09-01,Wind,2.0778,GWh,9,2022
Colombia,Net Electricity Production,2022-08-01,Hydro,5325.9442,GWh,8,2022
Colombia,Net Electricity Production,2022-08-01,Combustible Renewables,189.4234,GWh,8,2022
Colombia,Net Electricity Production,2022-08-01,Solar,49.23,GWh,8,2022
Colombia,Net Electricity Production,2022-08-01,Wind,6.405,GWh,8,2022
Colombia,Net Electricity Production,2022-07-01,Hydro,5187.1428,GWh,7,2022
Colombia,Net Electricity Production,2022-07-01,Combustible Renewables,189.3259,GWh,7,2022
Colombia,Net Electricity Production,2022-07-01,Solar,38.0352,GWh,7,2022
Colombia,Net Electricity Production,2022-07-01,Wind,8.9119,GWh,7,2022
Colombia,Net Electricity Production,2022-06-01,Hydro,4960.1773,GWh,6,2022
Colombia,Net Electricity Production,2022-06-01,Combustible Renewables,189.3743,GWh,6,2022
Colombia,Net Electricity Production,2022-06-01,Solar,27.2161,GWh,6,2022
Colombia,Net Electricity Production,2022-06-01,Wind,7.2373,GWh,6,2022
Colombia,Net Electricity Production,2022-05-01,Hydro,5260.0351,GWh,5,2022
Colombia,Net Electricity Production,2022-05-01,Combustible Renewables,189.392,GWh,5,2022
Colombia,Net Electricity Production,2022-05-01,Solar,27.0996,GWh,5,2022
Colombia,Net Electricity Production,2022-05-01,Wind,6.1417,GWh,5,2022
Colombia,Net Electricity Production,2022-04-01,Hydro,4968.9221,GWh,4,2022
Colombia,Net Electricity Production,2022-04-01,Combustible Renewables,189.3624,GWh,4,2022
Colombia,Net Electricity Production,2022-04-01,Solar,28.2295,GWh,4,2022
Colombia,Net Electricity Production,2022-04-01,Wind,6.7983,GWh,4,2022
Colombia,Net Electricity Production,2022-03-01,Hydro,5067.6348,GWh,3,2022
Colombia,Net Electricity Production,2022-03-01,Combustible Renewables,189.3423,GWh,3,2022
Colombia,Net Electricity Production,2022-03-01,Solar,30.253,GWh,3,2022
Colombia,Net Electricity Production,2022-03-01,Wind,9.5764,GWh,3,2022
Colombia,Net Electricity Production,2022-02-01,Hydro,4109.8795,GWh,2,2022
Colombia,Net Electricity Production,2022-02-01,Combustible Renewables,189.3414,GWh,2,2022
Colombia,Net Electricity Production,2022-02-01,Solar,27.0547,GWh,2,2022
Colombia,Net Electricity Production,2022-02-01,Wind,7.4621,GWh,2,2022
Colombia,Net Electricity Production,2022-01-01,Hydro,4496.8262,GWh,1,2022
Colombia,Net Electricity Production,2022-01-01,Combustible Renewables,189.4316,GWh,1,2022
Colombia,Net Electricity Production,2022-01-01,Solar,34.2781,GWh,1,2022
Colombia,Net Electricity Production,2022-01-01,Wind,7.3079,GWh,1,2022
Colombia,Net Electricity Production,2021-12-01,Hydro,4818.5864,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Combustible Renewables,183.6932,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Geothermal,0.0,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Solar,38.428,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Other Renewables,0.0,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Wind,4.6262,GWh,12,2021
Colombia,Net Electricity Production,2021-11-01,Hydro,5328.5478,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Combustible Renewables,183.5788,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Geothermal,0.0,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Solar,35.8733,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Other Renewables,0.0,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Wind,3.1705,GWh,11,2021
Colombia,Net Electricity Production,2021-10-01,Hydro,5580.5925,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Combustible Renewables,183.638,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Geothermal,0.0,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Solar,33.5293,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Other Renewables,0.0,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Wind,2.6408,GWh,10,2021
Colombia,Net Electricity Production,2021-09-01,Hydro,5498.7174,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Combustible Renewables,183.6023,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Geothermal,0.0,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Solar,29.5789,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Other Renewables,0.0,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Wind,3.8554,GWh,9,2021
Colombia,Net Electricity Production,2021-08-01,Hydro,5351.4869,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Combustible Renewables,183.5849,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Geothermal,0.0,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Solar,25.6596,GWh,8,2021
